timestamp,temp_c,dewpoint_c,slp_hpa,wind_dir_deg,wind_speed_ms
2023-01-01T01:00,2.2,-1.7,1012.8,120.0,2.1
2023-01-01T02:00,2.2,-1.7,1012.4,140.0,3.1
2023-01-01T03:00,2.8,-1.1,1011.8,140.0,3.1
2023-01-01T04:00,2.8,-0.6,1012.3,80.0,1.5
2023-01-01T05:00,2.8,-0.6,1012.3,0.0,0.0
2023-01-01T06:00,2.8,0.0,1010.9,110.0,3.1
2023-01-01T07:00,2.8,0.0,1010.6,140.0,2.6
2023-01-01T08:00,3.3,0.6,1010.7,160.0,3.1
2023-01-01T09:00,3.3,1.1,1010.8,160.0,2.6
2023-01-01T10:00,3.3,1.7,1010.6,0.0,0.0
2023-01-01T11:00,3.3,2.2,1010.3,140.0,2.1
2023-01-01T12:00,4.4,2.8,1010.8,200.0,2.1
2023-01-01T13:00,5.6,3.9,1011.5,250.0,2.1
2023-01-01T14:00,5.6,3.9,1012.2,240.0,2.6
2023-01-01T15:00,5.6,3.9,1012.8,260.0,2.6
2023-01-01T16:00,5.6,3.9,1013.7,270.0,3.1
2023-01-01T17:00,5.0,3.3,1014.2,260.0,3.1
2023-01-01T18:00,5.0,3.3,1014.1,250.0,3.1
2023-01-01T19:00,5.6,3.9,,230.0,3.6
2023-01-01T20:00,6.1,3.9,1013.9,,1.5
2023-01-01T21:00,7.2,3.9,1014.5,250.0,2.6
2023-01-01T22:00,6.1,3.9,1015.2,250.0,2.1
2023-01-01T23:00,5.6,3.3,1015.2,0.0,0.0
2023-01-02T00:00,4.4,2.2,1014.7,0.0,0.0
2023-01-02T01:00,4.4,2.8,1016.0,210.0,2.6
2023-01-02T02:00,5.0,2.8,1016.6,0.0,0.0
2023-01-02T03:00,4.4,2.8,1017.0,0.0,0.0
2023-01-02T04:00,3.9,2.2,1017.1,0.0,0.0
2023-01-02T05:00,3.3,1.7,1017.4,0.0,0.0
2023-01-02T06:00,3.3,1.7,1017.4,0.0,0.0
2023-01-02T07:00,3.3,1.7,1016.9,0.0,0.0
2023-01-02T08:00,2.8,1.1,1017.2,0.0,0.0
2023-01-02T09:00,1.1,-1.1,1017.3,0.0,0.0
2023-01-02T10:00,0.6,-1.7,1016.7,0.0,0.0
2023-01-02T11:00,0.0,-1.7,1017.4,360.0,2.1
2023-01-02T12:00,0.6,-1.1,1018.2,0.0,0.0
2023-01-02T13:00,1.1,-0.6,1018.5,360.0,2.1
2023-01-02T14:00,1.7,0.0,1018.4,20.0,1.5
2023-01-02T15:00,2.2,0.6,1019.0,360.0,2.6
2023-01-02T16:00,3.9,1.1,1019.4,20.0,2.6
2023-01-02T17:00,4.4,1.7,1018.9,30.0,3.1
2023-01-02T18:00,5.6,2.2,1018.1,60.0,2.6
2023-01-02T19:00,6.1,2.2,1017.8,50.0,3.1
2023-01-02T20:00,5.6,2.2,1017.5,50.0,4.1
2023-01-02T21:00,5.0,1.7,1016.7,50.0,4.1
2023-01-02T22:00,4.4,1.7,1016.7,60.0,4.1
2023-01-02T23:00,4.4,2.2,1015.8,40.0,5.1
2023-01-03T00:00,4.4,2.2,1015.6,80.0,4.6
2023-01-03T01:00,3.3,1.7,,60.0,4.6
2023-01-03T02:00,3.3,1.7,1015.5,40.0,4.6
2023-01-03T03:00,3.3,1.7,1015.0,30.0,4.6
2023-01-03T04:00,3.3,1.7,1012.9,60.0,5.1
2023-01-03T05:00,3.9,2.2,1012.0,30.0,5.1
2023-01-03T06:00,3.9,2.8,1010.9,60.0,4.1
2023-01-03T07:00,4.4,2.8,1009.7,30.0,5.1
2023-01-03T08:00,4.4,3.3,1009.2,50.0,4.6
2023-01-03T09:00,4.4,2.8,1008.6,20.0,6.2
2023-01-03T10:00,4.4,3.3,,40.0,5.7
2023-01-03T11:00,4.4,3.3,1006.2,40.0,5.7
2023-01-03T12:00,4.4,3.3,1005.9,40.0,4.1
2023-01-03T13:00,4.4,3.3,1005.5,30.0,5.1
2023-01-03T14:00,5.0,3.3,1005.3,30.0,5.7
2023-01-03T15:00,5.0,3.3,1004.6,30.0,5.7
2023-01-03T16:00,5.6,3.9,1004.1,40.0,5.7
2023-01-03T17:00,5.6,3.9,1002.9,60.0,3.6
2023-01-03T18:00,5.6,4.4,1002.2,30.0,3.1
2023-01-03T19:00,5.6,4.4,1001.6,20.0,2.6
2023-01-03T20:00,6.1,5.0,1000.8,20.0,3.6
2023-01-03T21:00,6.7,5.0,,350.0,2.1
2023-01-03T22:00,6.7,5.0,1001.2,40.0,2.1
2023-01-03T23:00,6.7,5.0,1001.6,10.0,1.5
2023-01-04T00:00,6.7,5.0,1001.5,20.0,2.1
2023-01-04T01:00,6.1,5.0,1001.4,70.0,1.5
2023-01-04T02:00,6.1,5.0,1001.9,10.0,2.6
2023-01-04T03:00,6.7,5.6,,100.0,2.1
2023-01-04T04:00,6.1,5.0,,320.0,2.1
2023-01-04T05:00,6.7,5.0,,280.0,2.1
2023-01-04T06:00,6.1,5.0,1003.4,270.0,3.1
2023-01-04T07:00,5.6,2.8,1004.0,230.0,3.6
2023-01-04T08:00,4.4,2.2,1003.9,210.0,2.1
2023-01-04T09:00,3.3,1.1,1004.2,220.0,2.1
2023-01-04T10:00,2.8,0.0,1004.2,210.0,2.6
2023-01-04T11:00,3.3,0.6,1003.7,230.0,2.1
2023-01-04T12:00,3.3,0.6,1004.0,200.0,2.6
2023-01-04T13:00,3.3,0.6,1004.1,240.0,2.6
2023-01-04T14:00,3.3,0.6,1004.9,210.0,2.1
2023-01-04T15:00,3.3,0.6,1005.7,220.0,3.1
2023-01-04T16:00,2.8,0.0,1006.4,230.0,3.1
2023-01-04T17:00,2.8,0.0,1006.1,250.0,3.6
2023-01-04T18:00,2.8,-0.6,1005.7,230.0,4.1
2023-01-04T19:00,2.2,-0.6,1005.7,250.0,4.6
2023-01-04T20:00,1.7,-1.1,1005.9,230.0,4.1
2023-01-04T21:00,1.7,-1.1,1006.7,220.0,5.7
2023-01-04T22:00,1.1,-1.1,1007.7,230.0,3.1
2023-01-04T23:00,1.1,-1.1,1008.5,230.0,5.7
2023-01-05T00:00,0.6,-1.1,1009.2,220.0,3.6
2023-01-05T01:00,1.1,-1.1,1009.7,220.0,3.6
2023-01-05T02:00,1.1,-1.7,1009.8,230.0,4.1
2023-01-05T03:00,1.1,-1.7,1010.0,230.0,5.1
2023-01-05T04:00,1.1,-2.2,1010.3,220.0,4.1
2023-01-05T05:00,1.1,-2.2,1010.5,220.0,4.6
2023-01-05T06:00,1.1,-2.2,1010.3,230.0,6.2
2023-01-05T07:00,1.1,-2.2,1009.9,220.0,4.6
2023-01-05T08:00,1.1,-2.2,1009.9,220.0,3.1
2023-01-05T09:00,1.1,-2.2,1010.2,,2.6
2023-01-05T10:00,0.6,-1.7,1009.9,210.0,1.5
2023-01-05T11:00,0.6,-1.7,1009.8,220.0,2.6
2023-01-05T12:00,0.6,-1.7,1010.0,210.0,2.6
2023-01-05T13:00,0.0,-2.2,1010.2,220.0,3.6
2023-01-05T14:00,0.0,-2.2,1010.3,230.0,3.6
2023-01-05T15:00,0.0,-1.7,1010.5,230.0,2.1
2023-01-05T16:00,0.0,-2.2,1010.9,230.0,4.6
2023-01-05T17:00,0.6,-2.2,1010.7,230.0,5.7
2023-01-05T18:00,0.6,-3.3,1010.4,240.0,5.7
2023-01-05T19:00,0.6,-3.3,1010.3,230.0,4.6
2023-01-05T20:00,0.0,-3.9,1010.8,250.0,4.6
2023-01-05T21:00,0.0,-3.3,1011.6,240.0,3.6
2023-01-05T22:00,0.0,-3.3,1012.6,250.0,4.1
2023-01-05T23:00,0.0,-2.8,1013.2,260.0,4.1
2023-01-06T00:00,0.6,-2.8,1013.6,260.0,4.6
2023-01-06T01:00,0.6,-2.8,1014.2,250.0,3.6
2023-01-06T02:00,0.6,-1.7,1014.3,250.0,3.6
2023-01-06T03:00,1.1,-1.7,1014.7,240.0,5.1
2023-01-06T04:00,1.1,-1.1,1014.9,250.0,3.6
2023-01-06T05:00,1.1,-1.1,1015.3,250.0,4.1
2023-01-06T06:00,0.6,-1.1,1015.5,240.0,3.6
2023-01-06T07:00,1.1,-1.1,1015.9,270.0,3.6
2023-01-06T08:00,0.6,-1.7,,260.0,4.1
2023-01-06T09:00,0.6,-1.7,1016.7,260.0,4.1
2023-01-06T10:00,0.0,-2.2,1017.5,260.0,3.6
2023-01-06T11:00,0.0,-2.8,1018.4,260.0,4.6
2023-01-06T12:00,0.0,-3.3,1018.3,270.0,3.6
2023-01-06T13:00,0.0,-3.3,1019.2,250.0,3.1
2023-01-06T14:00,0.0,-3.9,1019.7,270.0,3.1
2023-01-06T15:00,-0.6,-3.9,1020.6,260.0,3.1
2023-01-06T16:00,-1.1,-3.9,1021.5,250.0,4.1
2023-01-06T17:00,-1.1,-4.4,1021.6,270.0,3.6
2023-01-06T18:00,-2.2,-4.4,1021.5,230.0,6.2
2023-01-06T19:00,-2.8,-5.0,1021.3,250.0,3.6
2023-01-06T20:00,-3.3,-6.1,1021.3,250.0,4.6
2023-01-06T21:00,-3.3,-6.7,1021.5,260.0,2.6
2023-01-06T22:00,-3.3,-7.2,1022.6,,2.6
2023-01-06T23:00,-2.8,-7.2,1023.1,240.0,3.1
2023-01-07T00:00,-3.3,-7.2,1023.7,230.0,2.6
2023-01-07T01:00,-2.8,-7.2,1023.9,240.0,1.5
2023-01-07T02:00,-2.8,-6.7,1024.3,240.0,1.5
2023-01-07T03:00,-2.2,-6.7,1024.3,0.0,0.0
2023-01-07T04:00,-2.2,-6.7,1024.8,330.0,2.1
2023-01-07T05:00,-2.2,-6.7,1025.3,20.0,2.6
2023-01-07T06:00,-2.2,-6.7,1025.5,0.0,0.0
2023-01-07T07:00,-2.2,-6.1,1025.9,310.0,2.1
2023-01-07T08:00,-2.2,-6.1,1026.2,350.0,3.6
2023-01-07T09:00,-2.2,-6.1,1026.5,340.0,3.6
2023-01-07T10:00,-2.2,-6.1,1026.3,270.0,1.5
2023-01-07T11:00,-2.2,-6.1,1026.8,280.0,2.1
2023-01-07T12:00,-2.2,-5.6,1027.4,350.0,2.6
2023-01-07T13:00,-2.2,-5.6,1028.1,350.0,2.1
2023-01-07T14:00,-2.2,-5.0,1028.6,340.0,2.1
2023-01-07T15:00,-1.7,-4.4,1028.9,350.0,2.1
2023-01-07T16:00,-1.1,-4.4,1029.4,360.0,4.1
2023-01-07T17:00,-1.1,-3.9,,350.0,3.1
2023-01-07T18:00,-0.6,-3.9,1029.1,10.0,2.6
2023-01-07T19:00,-0.6,-3.9,1028.8,30.0,5.7
2023-01-07T20:00,-0.6,-5.0,1028.9,10.0,2.6
2023-01-07T21:00,-0.6,-5.0,1029.2,80.0,2.1
2023-01-07T22:00,-1.1,-5.6,1029.9,340.0,2.6
2023-01-07T23:00,-1.1,-5.6,1030.0,0.0,0.0
2023-01-08T00:00,-1.1,-6.1,1030.3,20.0,3.6
2023-01-08T01:00,-1.7,-5.6,1029.8,50.0,4.1
2023-01-08T02:00,-1.7,-5.6,1029.6,20.0,3.6
2023-01-08T03:00,-0.6,-5.0,1029.7,0.0,0.0
2023-01-08T04:00,-1.1,-5.0,1029.3,340.0,1.5
2023-01-08T05:00,-1.1,-5.0,1028.8,350.0,2.1
2023-01-08T06:00,-1.1,-5.0,1028.4,330.0,2.6
2023-01-08T07:00,-1.7,-5.0,1027.7,340.0,2.6
2023-01-08T08:00,-1.7,-5.0,1027.5,350.0,2.1
2023-01-08T09:00,-1.7,-5.0,1027.3,310.0,1.5
2023-01-08T10:00,-1.1,-4.4,1026.4,340.0,2.1
2023-01-08T11:00,-1.1,-4.4,1026.5,0.0,0.0
2023-01-08T12:00,-1.1,-4.4,1026.1,0.0,0.0
2023-01-08T13:00,-1.1,-4.4,1025.7,0.0,0.0
2023-01-08T14:00,-1.1,-4.4,1025.4,0.0,0.0
2023-01-08T15:00,-0.6,-3.9,1025.4,0.0,0.0
2023-01-08T16:00,-0.6,-5.0,1025.4,0.0,0.0
2023-01-08T17:00,0.0,-4.4,1024.7,210.0,1.5
2023-01-08T18:00,0.0,-4.4,1023.8,0.0,0.0
2023-01-08T19:00,0.0,-5.0,1023.0,290.0,3.6
2023-01-08T20:00,-0.6,-5.0,1022.4,310.0,4.1
2023-01-08T21:00,-0.6,-5.0,1022.0,320.0,3.1
2023-01-08T22:00,-1.7,-5.6,1021.7,260.0,3.1
2023-01-08T23:00,-2.2,-5.6,1022.3,290.0,2.6
2023-01-09T00:00,-2.2,-5.6,1022.5,300.0,4.1
2023-01-09T01:00,-2.8,-5.6,1022.9,250.0,3.6
2023-01-09T02:00,-2.8,-5.6,1023.2,280.0,4.1
2023-01-09T03:00,-2.8,-5.6,1022.8,230.0,3.6
2023-01-09T04:00,-3.3,-5.6,1022.3,240.0,3.1
2023-01-09T05:00,-3.3,-5.0,1022.6,270.0,4.6
2023-01-09T06:00,-2.8,-5.0,1021.7,250.0,3.1
2023-01-09T07:00,-2.2,-5.0,1022.1,270.0,3.6
2023-01-09T08:00,-2.8,-6.1,1021.8,230.0,3.1
2023-01-09T09:00,-3.3,-6.1,1022.0,250.0,3.6
2023-01-09T10:00,-3.3,-6.1,1022.0,230.0,3.1
2023-01-09T11:00,-3.9,-6.1,1021.8,210.0,3.1
2023-01-09T12:00,-3.9,-6.1,1021.6,200.0,2.6
2023-01-09T13:00,-3.9,-6.1,1021.5,190.0,2.1
2023-01-09T14:00,-3.9,-5.6,1021.6,210.0,3.1
2023-01-09T15:00,-2.2,-4.4,1021.6,210.0,4.1
2023-01-09T16:00,0.0,-3.9,1021.3,210.0,3.1
2023-01-09T17:00,2.2,-2.8,1020.7,220.0,5.1
2023-01-09T18:00,4.4,-1.1,1019.8,220.0,4.6
2023-01-09T19:00,5.0,-1.1,1018.8,240.0,5.7
2023-01-09T20:00,5.6,-0.6,1017.9,210.0,6.2
2023-01-09T21:00,6.1,0.0,1017.2,220.0,4.6
2023-01-09T22:00,6.7,-0.6,1017.0,210.0,4.6
2023-01-09T23:00,5.0,-0.6,1016.7,190.0,2.6
2023-01-10T00:00,4.4,0.0,1016.5,170.0,2.6
2023-01-10T01:00,3.9,0.6,1016.1,180.0,3.6
2023-01-10T02:00,3.9,0.6,1015.9,190.0,3.6
2023-01-10T03:00,3.9,0.6,1015.6,190.0,3.1
2023-01-10T04:00,3.9,0.6,1014.9,180.0,4.1
2023-01-10T05:00,3.9,0.0,1014.8,190.0,4.1
2023-01-10T06:00,3.9,0.0,1013.8,180.0,4.1
2023-01-10T07:00,3.3,-0.6,1012.7,170.0,3.6
2023-01-10T08:00,3.3,-0.6,1012.2,180.0,3.6
2023-01-10T09:00,3.3,-0.6,1011.7,180.0,3.6
2023-01-10T10:00,2.8,-0.6,1010.8,180.0,2.6
2023-01-10T11:00,2.2,-0.6,1010.8,170.0,2.1
2023-01-10T12:00,2.2,-0.6,1010.7,170.0,2.6
2023-01-10T13:00,1.7,-1.1,1011.1,180.0,1.5
2023-01-10T14:00,1.7,-0.6,1011.0,170.0,2.1
2023-01-10T15:00,2.8,0.6,1011.4,160.0,2.1
2023-01-10T16:00,4.4,1.1,1011.4,190.0,2.1
2023-01-10T17:00,6.1,1.7,1011.4,190.0,2.1
2023-01-10T18:00,7.2,1.7,1010.8,210.0,2.1
2023-01-10T19:00,8.9,1.7,1010.6,210.0,2.6
2023-01-10T20:00,9.4,1.7,1010.4,190.0,3.1
2023-01-10T21:00,9.4,1.7,1010.3,180.0,2.1
2023-01-10T22:00,8.9,1.7,1011.0,210.0,3.6
2023-01-10T23:00,7.8,1.1,1011.6,220.0,2.6
2023-01-11T00:00,6.1,1.1,1012.0,230.0,2.6
2023-01-11T01:00,5.6,1.1,1012.7,230.0,1.5
2023-01-11T02:00,3.9,0.6,1012.1,130.0,1.5
2023-01-11T03:00,3.9,0.6,1012.2,0.0,0.0
2023-01-11T04:00,2.8,0.0,1012.1,0.0,0.0
2023-01-11T05:00,3.3,0.6,1012.2,180.0,1.5
2023-01-11T06:00,3.3,1.1,1012.4,200.0,2.1
2023-01-11T07:00,3.9,1.1,1011.5,170.0,2.6
